=== NEW RUN | model=GRU_Imputation | file=imputation_model_only_gru.pth ===
[2026-03-16 23:47:09] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=23 train_loss=0.003606 val_loss=0.010218 lr=0.00025000 best_val=0.010218
[2026-03-16 23:47:21] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=24 train_loss=0.003597 val_loss=0.010350 lr=0.00025000 best_val=0.010218
[2026-03-16 23:47:33] model=GRU_Imputation file=imputation_model__gru_and_attention.pth epoch=25 train_loss=0.003584 val_loss=0.010286 lr=0.00025000 best_val=0.010218

=== NEW RUN | model=GRU_Imputation | file=imputation_model_only_attention.pth ===
[2026-03-16 23:49:56] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=1 train_loss=0.007484 val_loss=0.010573 lr=0.00100000 best_val=0.010573
[2026-03-16 23:50:08] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=2 train_loss=0.005541 val_loss=0.011190 lr=0.00100000 best_val=0.010573
[2026-03-16 23:50:19] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=3 train_loss=0.005198 val_loss=0.011201 lr=0.00100000 best_val=0.010573
[2026-03-16 23:50:31] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=4 train_loss=0.004975 val_loss=0.011080 lr=0.00100000 best_val=0.010573
[2026-03-16 23:50:42] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=5 train_loss=0.004803 val_loss=0.010628 lr=0.00100000 best_val=0.010573
[2026-03-16 23:50:54] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=6 train_loss=0.004680 val_loss=0.010254 lr=0.00100000 best_val=0.010254
[2026-03-16 23:51:05] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=7 train_loss=0.004559 val_loss=0.010620 lr=0.00100000 best_val=0.010254
[2026-03-16 23:51:17] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=8 train_loss=0.004456 val_loss=0.010309 lr=0.00100000 best_val=0.010254
[2026-03-16 23:51:28] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=9 train_loss=0.004366 val_loss=0.010532 lr=0.00100000 best_val=0.010254
[2026-03-16 23:51:40] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=10 train_loss=0.004276 val_loss=0.010621 lr=0.00100000 best_val=0.010254
[2026-03-16 23:51:51] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=11 train_loss=0.004201 val_loss=0.010488 lr=0.00100000 best_val=0.010254
[2026-03-16 23:52:03] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=12 train_loss=0.004137 val_loss=0.010696 lr=0.00050000 best_val=0.010254
[2026-03-16 23:52:14] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=13 train_loss=0.003911 val_loss=0.010535 lr=0.00050000 best_val=0.010254
[2026-03-16 23:52:26] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=14 train_loss=0.003874 val_loss=0.010252 lr=0.00050000 best_val=0.010252
[2026-03-16 23:52:37] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=15 train_loss=0.003856 val_loss=0.010600 lr=0.00050000 best_val=0.010252
[2026-03-16 23:52:49] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=16 train_loss=0.003819 val_loss=0.010477 lr=0.00050000 best_val=0.010252
[2026-03-16 23:53:00] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=17 train_loss=0.003798 val_loss=0.010537 lr=0.00050000 best_val=0.010252

=== NEW RUN | model=GRU_Imputation | file=imputation_model_only_attention.pth ===
[2026-03-16 23:54:59] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=1 train_loss=0.007558 val_loss=0.008465 lr=0.00100000 best_val=0.008465
[2026-03-16 23:55:10] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=2 train_loss=0.005649 val_loss=0.007854 lr=0.00100000 best_val=0.007854
[2026-03-16 23:55:23] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=3 train_loss=0.005364 val_loss=0.007583 lr=0.00100000 best_val=0.007583
[2026-03-16 23:55:35] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=4 train_loss=0.005231 val_loss=0.007295 lr=0.00100000 best_val=0.007295
[2026-03-16 23:55:47] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=5 train_loss=0.005143 val_loss=0.007220 lr=0.00100000 best_val=0.007220
[2026-03-16 23:55:58] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=6 train_loss=0.005078 val_loss=0.007224 lr=0.00100000 best_val=0.007220
[2026-03-16 23:56:10] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=7 train_loss=0.005017 val_loss=0.007100 lr=0.00100000 best_val=0.007100
[2026-03-16 23:56:21] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=8 train_loss=0.004961 val_loss=0.007052 lr=0.00100000 best_val=0.007052
[2026-03-16 23:56:33] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=9 train_loss=0.004910 val_loss=0.006930 lr=0.00100000 best_val=0.006930
[2026-03-16 23:56:45] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=10 train_loss=0.004846 val_loss=0.007040 lr=0.00100000 best_val=0.006930
[2026-03-16 23:56:57] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=11 train_loss=0.004802 val_loss=0.006519 lr=0.00100000 best_val=0.006519
[2026-03-16 23:57:08] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=12 train_loss=0.004750 val_loss=0.006617 lr=0.00100000 best_val=0.006519
[2026-03-16 23:57:20] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=13 train_loss=0.004712 val_loss=0.006308 lr=0.00100000 best_val=0.006308
[2026-03-16 23:57:32] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=14 train_loss=0.004668 val_loss=0.006381 lr=0.00100000 best_val=0.006308
[2026-03-16 23:57:43] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=15 train_loss=0.004625 val_loss=0.006317 lr=0.00100000 best_val=0.006308
[2026-03-16 23:57:55] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=16 train_loss=0.004592 val_loss=0.006142 lr=0.00100000 best_val=0.006142
[2026-03-16 23:58:07] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=17 train_loss=0.004580 val_loss=0.006165 lr=0.00100000 best_val=0.006142
[2026-03-16 23:58:18] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=18 train_loss=0.004541 val_loss=0.005830 lr=0.00100000 best_val=0.005830
[2026-03-16 23:58:30] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=19 train_loss=0.004515 val_loss=0.006047 lr=0.00100000 best_val=0.005830
[2026-03-16 23:58:42] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=20 train_loss=0.004501 val_loss=0.005900 lr=0.00100000 best_val=0.005830
[2026-03-16 23:58:53] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=21 train_loss=0.004480 val_loss=0.005796 lr=0.00100000 best_val=0.005796
[2026-03-16 23:59:05] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=22 train_loss=0.004463 val_loss=0.006083 lr=0.00100000 best_val=0.005796
[2026-03-16 23:59:16] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=23 train_loss=0.004457 val_loss=0.005633 lr=0.00100000 best_val=0.005633
[2026-03-16 23:59:28] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=24 train_loss=0.004447 val_loss=0.005642 lr=0.00100000 best_val=0.005633
[2026-03-16 23:59:40] model=GRU_Imputation file=imputation_model_only_attention.pth epoch=25 train_loss=0.004462 val_loss=0.005655 lr=0.00100000 best_val=0.005633
